# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	14785
#@/user_id	rime_fcitx_xiao_he
a 	啊	c=86 d=3.48375 t=14785
hu kou 	户口	c=1 d=2.29566e-12 t=14785
hu li da dao 	湖里大道	c=1 d=1 t=13116
hu lian wang 	互联网	c=1 d=1 t=12956
hu lve 	忽略	c=2 d=0.00208588 t=14785
hu xiang 	互相	c=1 d=1.46453e-18 t=14785
hu ya 	虎牙	c=1 d=0.12307 t=14785
hu yan 	护眼	c=1 d=2.57457e-08 t=14785
hua 	划	c=2 d=2.13741e-08 t=14785
hua 	滑	c=1 d=1.77037e-14 t=14785
hua 	画	c=2 d=6.43437e-10 t=14785
hua 	花	c=1 d=1.00361e-13 t=14785
hua 	话	c=11 d=0.0221544 t=14785
hua ban 	画板	c=1 d=2.5441e-15 t=14785
hua dao 	划到	c=1 d=1.67563e-14 t=14785
hua de 	划的	c=1 d=1.74402e-14 t=14785
hua hao 	画好	c=1 d=6.74598e-17 t=14785
hua he 	花颌	c=1 d=0.0229371 t=14785
hua le 	划了	c=1 d=1.71805e-14 t=14785
hua sheng 	花生	c=0 d=0.1 t=10452
hua sheng rang 	花生瓤	c=1 d=1 t=10453
hua shi jian 	花时间	c=1 d=1.73951e-13 t=14785
hua shui 	划水	c=1 d=0.0023461 t=14785
hua shuo 	话说	c=2 d=1.32768e-11 t=14785
hua suan 	划算	c=1 d=1.83818e-15 t=14785
hua tu 	画图	c=2 d=1.9802 t=14411
hua wan 	划完	c=1 d=1.94681e-14 t=14785
huan 	换	c=3 d=0.00436124 t=14785
huan cheng 	换成	c=2 d=2.54686e-20 t=14785
huan cun 	缓存	c=4 d=1.24291e-08 t=14785
huan ge 	换个	c=2 d=2.70448e-19 t=14785
huan gong zuo 	换工作	c=0 d=2.56303e-15 t=14785
huan hang 	换行	c=6 d=0.112076 t=14785
huan huan 	欢欢	c=2 d=0.000856067 t=14785
huan jie 	环节	c=4 d=1.27148e-07 t=14785
huan jing 	环境	c=15 d=1.07235 t=14785
huan jing xia 	环境下	c=1 d=1 t=10362
huan lai 	换来	c=0 d=0.1 t=13497
huan lai de 	换来的	c=1 d=1 t=13498
huan qing 	还清	c=1 d=1.17531e-18 t=14785
huan xing 	唤醒	c=3 d=0.048096 t=14785
huan yuan 	还原	c=3 d=3.13884e-09 t=14785
huang 	黄	c=1 d=0.0968105 t=14785
huang bin 	煌彬	c=3 d=0.00346494 t=14785
huang se 	黄色	c=3 d=1 t=14552
huang xin 	黄鑫	c=3 d=2.70157 t=10057
hui 	会	c=24 d=0.216571 t=14785
hui 	回	c=0 d=0.1 t=10626
hui 	慧	c=1 d=0.00118265 t=14785
hui 	辉	c=2 d=1.70822 t=11009
hui ba 	会把	c=1 d=0.0466538 t=14785
hui bang ni 	会帮你	c=1 d=1.42691e-06 t=14785
hui bi jiao 	会比较	c=1 d=6.31606e-07 t=14785
hui bian cheng 	会变成	c=1 d=1 t=10802
hui bu hui 	会不会	c=2 d=4.93644e-19 t=14785
hui bu lai 	回不来	c=0 d=0.1 t=11073
hui chan sheng 	会产生	c=2 d=8.31388e-05 t=14785
hui chang shi jian 	会长时间	c=1 d=1 t=14219
hui chuan gei ni 	会传给你	c=1 d=1 t=9966
hui chuang jian 	会创建	c=1 d=1 t=10103
hui dao 	回到	c=1 d=1.09465 t=14086
hui dao jia 	回到家	c=1 d=1 t=10427
hui dao zhi 	会导致	c=1 d=1 t=12851
hui er 	会儿	c=0 d=1.61855e-19 t=14785
hui fa 	会发	c=0 d=2.31755e-07 t=14785
hui fa song 	会发送	c=1 d=2.32917e-06 t=14785
hui fu 	恢复	c=2 d=0.2334 t=14785
hui gen ju 	会根据	c=1 d=0.193949 t=13086
hui gen ju dang qian xi tong 	会根据当前系统	c=1 d=1 t=13087
hui gui 	回归	c=1 d=1.19041 t=11103
hui gui le 	回归了	c=1 d=1 t=11100
hui huan xing 	会唤醒	c=1 d=1 t=14041
hui huang 	辉煌	c=7 d=0.230802 t=14785
hui jia 	回家	c=1 d=1.80491e-06 t=14785
hui jia de 	回家的	c=1 d=2.23822e-08 t=14785
hui jiang 	会将	c=3 d=0.0267258 t=14785
hui jin ru dao 	会进入到	c=1 d=1 t=14024
hui jing 	汇景	c=1 d=8.34249e-16 t=14785
hui ka 	会卡	c=1 d=1 t=10387
hui lai 	回来	c=4 d=1.55324e-05 t=14785
hui lai a 	回来啊	c=0 d=0.1 t=14509
hui peng 	慧鹏	c=1 d=4.93504e-16 t=14785
hui qu 	回去	c=3 d=0.0234004 t=14785
hui qu ba 	回去吧	c=1 d=1 t=13383
hui se 	灰色	c=2 d=0.0072627 t=14785
hui shou 	回收	c=16 d=0.328722 t=13491
hui shou le 	回收了	c=1 d=1 t=12150
hui shou qi 	回收器	c=4 d=1.9741 t=12968
hui shou shi 	回收时	c=1 d=1 t=12184
hui shou shi jian suo duan 	回收时间缩短	c=1 d=1 t=13492
hui shou suan fa 	回收算法	c=1 d=1 t=12299
hui shou xian cheng 	回收线程	c=1 d=1 t=12431
hui tou shi an 	回头是岸	c=1 d=1 t=11908
hui tu 	绘图	c=1 d=2.867e-09 t=14785
hui xia men 	回厦门	c=1 d=1 t=10627
hui xian shi 	会显示	c=1 d=1 t=11017
hui yuan 	会员	c=0 d=0.00028799 t=14785
hui yuan fei 	会员费	c=1 d=0.00298248 t=14785
hui zai 	会在	c=3 d=2.54655 t=10195
hui zeng jia 	会增加	c=1 d=1 t=12860
hui zhan 	会展	c=0 d=2.00576e-13 t=14785
hui zhi 	绘制	c=1 d=0.634448 t=14785
hui zhi dao 	会知道	c=1 d=1.70183e-20 t=14785
hui zi dong 	会自动	c=1 d=1 t=11140
hui zong 	汇总	c=3 d=0.726214 t=14785
hui zuo 	会做	c=1 d=7.9974e-19 t=14785
hun luan zhi zi 	混乱之子	c=1 d=1.66269e-11 t=14785
hun xiao 	混淆	c=1 d=1.1 t=13151
hun xiao can shu 	混淆参数	c=1 d=1 t=13152
huo 	或	c=4 d=2.51598e-05 t=14785
huo dong 	活动	c=7 d=0.123687 t=14785
huo e 	火鹅	c=0 d=0.1 t=14771
huo pin 	货品	c=1 d=0.00551656 t=14785
huo qu 	获取	c=17 d=1.48171 t=14785
huo ze 	或则	c=1 d=1.1234e-16 t=14785
huo zhe 	或者	c=17 d=0.860529 t=14785
ia;be 	岔	c=1 d=0.0141931 t=14785
ie s 	车三	c=3 d=0.000314493 t=14785
iu 	处	c=1 d=0.0194482 t=14785
ji 	几	c=3 d=0.496585 t=14785
ji 	及	c=5 d=1.33911 t=12969
ji 	既	c=1 d=5.5777e-15 t=14785
ji 	级	c=4 d=1.13334 t=14785
ji bai 	几百	c=1 d=1.67017e-05 t=14785
ji ben 	基本	c=6 d=0.0110448 t=14785
ji ben bu xu yao 	基本不需要	c=1 d=2.76886e-11 t=14785
ji ben shi yong 	基本使用	c=1 d=1.1398e-10 t=14785
ji bie 	级别	c=4 d=0.0198411 t=14785
ji ceng 	基层	c=1 d=0.000696112 t=14785
ji cheng 	继承	c=6 d=0.00177254 t=14785
ji cheng 	集成	c=3 d=1.29511 t=14785
ji cheng guan xi 	继承关系	c=1 d=1 t=13362
ji cheng le 	继承了	c=1 d=1 t=13370
ji chu 	基础	c=4 d=0.00639902 t=14785
ji chu 	寄出	c=1 d=0.000280202 t=14785
ji chu jiao cheng 	基础教程	c=1 d=1 t=13179
ji chu zhi shi 	基础知识	c=2 d=1.12873 t=11676
ji cuo le 	记错了	c=0 d=3.16142e-13 t=14785
ji de 	记得	c=1 d=0.00900478 t=14785
ji dian 	几点	c=2 d=0.0252972 t=14785
ji dian jie shu le 	几点结束了	c=1 d=0.00697795 t=14785
ji du de 	嫉妒的	c=1 d=9.46807e-05 t=14785
ji fen 	几份	c=1 d=1 t=11841
ji fen 	积分	c=3 d=3.91106e-11 t=14785
ji fen zhong 	几分钟	c=1 d=0.0153752 t=14785
ji ge 	几个	c=7 d=0.000958819 t=14785
ji he 	几何	c=1 d=1 t=11036
ji he 	集合	c=5 d=5.7007e-09 t=14785
ji hu 	几乎	c=0 d=2.69261e-07 t=14785
ji hu mei ren 	几乎每人	c=1 d=2.70611e-06 t=14785
ji hua 	计划	c=2 d=0.589322 t=14785
ji hua bu 	计划部	c=1 d=0.0157644 t=14785
ji hui 	机会	c=1 d=3.46574e-05 t=14785
ji huo 	激活	c=2 d=2.42323e-05 t=14785
ji huo zhuang tai 	激活状态	c=1 d=2.92691e-17 t=14785
ji jian 	计件	c=0 d=2.72013e-09 t=14785
ji jian xin zi 	计件薪资	c=1 d=2.73377e-08 t=14785
ji jin 	基金	c=1 d=0.00211225 t=14785
ji ke 	即可	c=10 d=0.0042963 t=14785
ji ke yi 	既可以	c=1 d=1 t=9816
ji kuai 	几块	c=1 d=1 t=12370
ji lei 	积累	c=5 d=0.000599149 t=14785
ji lu 	记录	c=12 d=0.0962765 t=14785
ji lu biao 	纪录表	c=0 d=0.1 t=13264
ji lu le 	记录了	c=1 d=6.48367e-21 t=14785
ji lv 	机率	c=1 d=1.012 t=14068
ji mao qian 	几毛钱	c=1 d=1.90366e-15 t=14785
ji mei 	集美	c=0 d=0.1 t=12595
ji mei me 	集美么	c=1 d=1 t=12596
ji neng 	技能	c=1 d=5.71501e-07 t=14785
ji nian 	几年	c=1 d=0.000156885 t=14785
ji nian qian 	几年前	c=1 d=0.000114493 t=14785
ji piao 	机票	c=4 d=1.00816 t=11764
ji qiao 	技巧	c=1 d=2.08222e-11 t=14785
ji ran shi 	既然是	c=0 d=0.1 t=9460
ji ran shi pin yin 	既然是拼音	c=1 d=1 t=9461
ji shi 	几十	c=2 d=7.98973e-06 t=14785
ji shi 	即使	c=3 d=8.00856e-06 t=14785
ji shi 	及时	c=3 d=0.0356145 t=14785
ji shu 	技术	c=4 d=1.61054e-10 t=14785
ji shu zhan 	技术栈	c=2 d=3.243e-10 t=14785
ji suan 	计算	c=8 d=0.105812 t=12944
ji suan hao 	计算好	c=1 d=1 t=11034
ji suan xing 	计算型	c=1 d=1 t=12945
ji ti 	集体	c=1 d=1.78385e-15 t=14785
ji tian 	几天	c=1 d=0.0132656 t=14785
ji tian le 	几天了	c=1 d=1.03954e-15 t=14785
ji tiao 	几条	c=1 d=0.0605068 t=14785
ji tuan 	集团	c=4 d=0.0403012 t=14785
ji xiao 	绩效	c=19 d=0.971271 t=14785
ji xiao zhi biao 	绩效指标	c=1 d=1 t=11230
ji xie 	机械	c=0 d=0.1 t=13107
ji xie jian pan 	机械键盘	c=0 d=0.1 t=13105
ji xu 	继续	c=10 d=0.88255 t=14785
ji xu pin 	继续拼	c=1 d=1 t=10243
ji xu xia zai 	继续下载	c=1 d=1 t=12223
ji yu 	基于	c=2 d=5.30117e-05 t=14785
ji yu 	给予	c=1 d=1.3041e-06 t=14785
ji zhang 	几张	c=1 d=1.9999e-07 t=14785
ji zhi 	机制	c=3 d=0.000216378 t=14785
ji zhong 	几种	c=0 d=1.00136e-17 t=14785
jia 	佳	c=0 d=5.44276e-22 t=14785
jia 	加	c=7 d=0.308902 t=14785
jia 	家	c=1 d=0.00148997 t=14785
jia 	架	c=0 d=0.1 t=11072
jia ba 	加吧	c=1 d=1.79744e-16 t=14785
jia ban 	加班	c=11 d=0.985112 t=14785
jia ban 	甲板	c=0 d=1.59445e-19 t=14785
jia ban ma 	加班吗	c=1 d=1.10879e-09 t=14785
jia ban ma 	甲板吗	c=1 d=1.60245e-18 t=14785
jia bin 	嘉斌	c=20 d=0.0144344 t=14785
jia ce shi 	加测试	c=1 d=0.286505 t=14785
jia de 	加的	c=4 d=0.0132999 t=14785
jia de 	家的	c=1 d=1 t=11212
jia de ba 	假的吧	c=1 d=0.00260584 t=14785
jia ge 	价格	c=2 d=2.08701e-08 t=14785
jia ge 	加个	c=4 d=6.86142e-06 t=14785
jia hui 	加会	c=0 d=0.0852144 t=14785
jia hui er 	加会儿	c=1 d=0.856415 t=14785
jia jia 	加加	c=0 d=0.000673795 t=14785
jia jia jia 	加加加	c=1 d=0.00677172 t=14785
jia le 	加了	c=2 d=8.50378e-06 t=14785
jia li 	家里	c=2 d=3.6541e-10 t=14785
jia li de 	家里的	c=1 d=4.87498e-19 t=14785
jia mi 	加密	c=3 d=8.36307e-06 t=14785
jia mi fang fa 	加密方法	c=1 d=1 t=13145
jia mi fang shi 	加密方式	c=1 d=1 t=13149
jia qian 	加签	c=3 d=0.0443052 t=14785
jia ren 	家人	c=1 d=1.24756e-14 t=14785
jia ru 	假如	c=6 d=0.348196 t=14785
jia ru 	加入	c=5 d=2.26971e-11 t=14785
jia ru le 	加入了	c=1 d=1 t=9474
jia shu ju 	假数据	c=1 d=1 t=11736
jia su 	加速	c=2 d=1.68489e-11 t=14785
jia ting tiao jian 	家庭条件	c=1 d=5.16044e-12 t=14785
jia yi 	加一	c=1 d=0.18452 t=14785
jia yi hui er 	加一会儿	c=1 d=1.65953e-18 t=14785
jia yong 	家用	c=1 d=1.06292e-12 t=14785
jia you 	加油	c=2 d=3.27733e-08 t=14785
jia yue ting 	贾跃亭	c=3 d=2.82226e-12 t=14785
jia zai 	加载	c=5 d=6.03916e-09 t=14785
jian 	减	c=1 d=1 t=14439
jian 	见	c=2 d=5.00622e-08 t=14785
jian ce 	检测	c=1 d=2.09409e-19 t=14785
jian cha 	检查	c=1 d=0.000403635 t=14785
jian cha hao 	检查好	c=1 d=1.13469e-16 t=14785
jian dan 	简单	c=6 d=0.481909 t=14785
jian dan de 	简单的	c=1 d=1.05471e-09 t=14785
jian dan fang fa 	简单方法	c=1 d=1 t=12175
jian dang 	建党	c=1 d=7.00078e-12 t=14785
jian ge 	间隔	c=1 d=1 t=11930
jian kong 	监控	c=5 d=2.00305e-05 t=14785
jian kong zhe 	监控者	c=1 d=2.19995e-11 t=14785
jian li 	简历	c=2 d=3.41414e-05 t=14785
jian pan 	键盘	c=8 d=3.47222 t=13884
jian pan bu da 	键盘不大	c=1 d=1 t=13885
jian qian 	减签	c=5 d=0.246737 t=14785
jian rong 	兼容	c=1 d=1.45697e-16 t=14785
jian shao 	减少	c=2 d=1.00004 t=13642
jian tou 	箭头	c=4 d=2.22668e-06 t=14785
jian xia 	见下	c=0 d=4.3522e-09 t=14785
jian xia mian 	见下面	c=1 d=4.37401e-08 t=14785
jian xie xing 	间歇性	c=2 d=4.00879e-18 t=14785
jian yi 	建一	c=0 d=5.13382e-11 t=14785
jian yi ge 	建一个	c=2 d=1.08436e-06 t=14785
jian zhu 	建筑	c=2 d=1.03304 t=10338
jiang 	姜	c=10 d=2.13444e-15 t=14785
jiang 	将	c=17 d=0.537485 t=14785
jiang chu fa 	将触发	c=1 d=1 t=12876
jiang dai ma 	将代码	c=1 d=0.150318 t=14785
jiang ding ceng 	将顶层	c=1 d=1 t=10873
jiang hui 	将会	c=1 d=1 t=12881
jiang qi 	将其	c=2 d=1.75157e-06 t=14785
jiang shang 	将上	c=0 d=4.50722e-09 t=14785
jiang shang mian 	将上面	c=1 d=4.52981e-08 t=14785
jiang shi 	讲师	c=3 d=5.95128e-13 t=14785
jiang shu 	降暑	c=1 d=9.10147e-11 t=14785
jiang su 	江苏	c=1 d=1 t=11057
jiang yuan xing 	将原型	c=1 d=8.01265e-12 t=14785
jiang zheng 	将整	c=0 d=0.1 t=14523
jiang zheng que 	将整却	c=1 d=1 t=14524
jiao 	交	c=3 d=2.05153e-18 t=14785
jiao 	教	c=1 d=0.416862 t=14785
jiao 	角	c=1 d=1 t=10685
jiao ben 	脚本	c=4 d=0.0228227 t=14785
jiao che 	轿车	c=1 d=1.06825e-12 t=14785
jiao cheng 	教程	c=7 d=9.02963e-06 t=14785
jiao da 	较大	c=1 d=1 t=12890
jiao dao 	叫到	c=1 d=7.85265e-10 t=14785
jiao fang 	交房	c=2 d=1.31574e-15 t=14785
jiao gei 	交给	c=2 d=1.65783e-06 t=14785
jiao jie 	交接	c=0 d=0.1 t=10620
jiao jie yi xia 	交接一下	c=1 d=1 t=10621
jiao kuai 	角块	c=10 d=2.80678 t=14547
jiao sha 	叫啥	c=1 d=1.91652e-06 t=14785
jiao shi 	教师	c=0 d=1.87595e-20 t=14785
jiao shi xin xi 	教师信息	c=1 d=1.88536e-19 t=14785
jiao ti 	交替	c=0 d=0.1 t=12436
jiao yan 	校验	c=13 d=0.0927056 t=14785
jiao yan shi fou cun zai 	校验是否存在	c=1 d=3.32577e-20 t=14785
jiao yan shu ju 	校验数据	c=1 d=0.000602152 t=14785
jiao zhun 	校准	c=5 d=1.89863 t=14785
jie 	姐	c=3 d=2.86008e-10 t=14785
jie 	截	c=1 d=1.98992e-07 t=14785
jie da 	解答	c=1 d=1.47824e-10 t=14785
jie dao 	街道	c=1 d=4.89359e-05 t=14785
jie dian 	节点	c=2 d=1.09209e-07 t=14785
jie duan 	阶段	c=3 d=2.06058 t=14785
jie gou 	结构	c=6 d=1.24533 t=14785
jie gou tu 	结构图	c=1 d=1.16865e-10 t=14785
jie guo 	结果	c=25 d=0.198629 t=14785
jie guo ye jiu 	结果也就	c=1 d=1 t=9942
jie hun 	结婚	c=1 d=1 t=11194
jie jie 	姐姐	c=2 d=0.113041 t=14785
jie jue 	解决	c=14 d=0.000288761 t=14785
jie kou 	接口	c=36 d=2.67906 t=14785
jie kou she ji 	接口设计	c=0 d=0.0585669 t=14785
jie mian 	界面	c=1 d=4.66777e-08 t=14785
jie mu 	节目	c=1 d=6.61465e-21 t=14785
jie qi 	解气	c=1 d=1.98614e-14 t=14785
jie san 	解散	c=1 d=4.0169e-06 t=14785
jie shao 	介绍	c=13 d=0.0141886 t=14785
jie shi 	解释	c=2 d=2.18901e-11 t=14785
jie shou 	接收	c=4 d=1.39294 t=14785
jie shu 	结束	c=9 d=0.0783007 t=14785
jie shu le 	结束了	c=0 d=0.000694315 t=14785
jie ti 	解题	c=0 d=1.6794e-12 t=14785
jie ti si lu 	解题思路	c=1 d=1.68782e-11 t=14785
jie tu 	截图	c=3 d=8.94193e-10 t=14785
jie tu bu cuo 	截图不错	c=1 d=3.72792e-10 t=14785
jie tu wo kan kan 	截图我看看	c=2 d=2.32355e-07 t=14785
jie wei 	结尾	c=1 d=1 t=12477
jie xi 	解析	c=4 d=0.00029798 t=14785
jie xi jie guo 	解析结果	c=2 d=1.98511 t=13147
jie xian 	界限	c=1 d=6.007e-05 t=14785
jie ya 	解压	c=2 d=1.36412e-07 t=14785
jie ya ma 	解压码	c=1 d=1 t=12085
jie yue 	解约	c=1 d=7.77848e-16 t=14785
jie zhong 	接种	c=1 d=1 t=13119
jin 	仅	c=1 d=2.38425e-13 t=14785
jin 	近	c=1 d=1.28888e-15 t=14785
jin 	进	c=0 d=7.3967e-05 t=14785
jin bu qu 	进不去	c=1 d=5.14624e-09 t=14785
jin cheng 	进程	c=11 d=0.000791522 t=14785
jin chu shi hua 	仅初始化	c=1 d=2.45025e-14 t=14785
jin di 	金地	c=1 d=1.99128e-15 t=14785
jin du 	进度	c=10 d=0.00307132 t=14785
jin hu lu 	金湖路	c=1 d=1 t=13114
jin ji 	紧急	c=1 d=2.26618e-07 t=14785
jin jin 	仅仅	c=4 d=0.954264 t=14785
jin ke neng 	尽可能	c=1 d=1.09851 t=13485
jin ke neng de 	尽可能地	c=1 d=1 t=13448
jin ke neng shao de 	尽可能少的	c=1 d=1 t=10313
jin lai 	进来	c=1 d=1.04086 t=9618
jin lai le 	进来了	c=1 d=1.02774 t=9448
jin liang 	尽量	c=1 d=0.00153752 t=14785
jin liang zhou 	进两周	c=1 d=7.80127e-21 t=14785
jin long 	金龙	c=1 d=3.08284e-10 t=14785
jin qu 	进去	c=3 d=6.15509e-11 t=14785
jin ri 	今日	c=1 d=2.18861e-09 t=14785
jin ru 	进入	c=2 d=0.00170785 t=14785
jin ru dao 	进入到	c=0 d=0.1 t=14023
jin ru dao yi ge 	进入到一个	c=1 d=1 t=13972
jin sheng 	晋升	c=1 d=0.0065062 t=14785
jin shi 	近视	c=1 d=2.48128e-15 t=14785
jin tian 	今天	c=9 d=0.000312682 t=14785
jin tian du si le 	今天堵死了	c=1 d=1.80645e-16 t=14785
jin tian jiu 	进天就	c=1 d=0.000739157 t=14785
jin tian you 	今天有	c=1 d=1.63482e-18 t=14785
jin tian zao shang 	今天早上	c=1 d=1 t=10
jin xing 	禁行	c=1 d=4.17288e-13 t=14785
jin xing 	进行	c=15 d=0.0386194 t=14785
jin xing chu li 	进行处理	c=1 d=1 t=14167
jin xing gong zuo liu 	进行工作流	c=1 d=5.35991e-17 t=14785
jin xing yan zheng 	进行验证	c=1 d=2.11808e-06 t=14785
jin xing yi ci 	进行一次	c=1 d=1 t=12922
jin xing zhong 	进行中	c=1 d=0.000122182 t=14785
jin yi dian 	近一点	c=1 d=1.38927e-15 t=14785
jin yong 	禁用	c=1 d=1.26905e-09 t=14785
jin zhi 	禁止	c=1 d=1 t=13809
jin zhi shi yong 	禁止使用	c=1 d=1 t=14513
jin zhu 	进驻	c=1 d=1 t=10520
jing chang 	经常	c=2 d=0.119434 t=14785
jing chang pao bu 	经常跑步	c=1 d=1 t=12053
jing dian 	景点	c=1 d=1 t=11065
jing dong 	京东	c=1 d=1 t=13793
jing gao 	警告	c=2 d=1.23802e-08 t=14785
jing guo 	经过	c=1 d=2.46086e-06 t=14785
jing guo ce shi 	经过测试	c=1 d=0.137381 t=14785
jing li 	精力	c=1 d=1.757e-13 t=14785
jing li 	经历	c=2 d=2.35298e-08 t=14785
jing li 	经理	c=3 d=0.00967395 t=14785
jing ran 	竟然	c=1 d=1.82746e-05 t=14785
jing tai 	静态	c=8 d=7.44704e-14 t=14785
jing tai dai ma kuai 	静态代码块	c=0 d=4.5212e-16 t=14785
jing tai fang fa 	静态方法	c=1 d=1 t=13959
jing tai wen jian 	静态文件	c=3 d=1.19595e-08 t=14785
jing xiang 	镜像	c=4 d=2.07338e-09 t=14785
jing yan 	经验	c=1 d=1 t=11275
jing zao 	京造	c=1 d=1 t=13794
jing zheng 	竞争	c=4 d=3.50115 t=14073
jing zhuan 	净赚	c=1 d=1 t=13464
jing zhun 	精准	c=1 d=1 t=13465
jiu 	就	c=24 d=0.489806 t=14785
jiu 	旧	c=4 d=1.26894e-07 t=14785
jiu an 	就按	c=1 d=3.99755e-08 t=14785
jiu ba 	就把	c=0 d=7.77451e-11 t=14785
jiu ba 	酒吧	c=1 d=0.97531 t=14785
jiu ba wo 	就把我	c=1 d=7.81348e-10 t=14785
jiu bei 	就被	c=1 d=8.89519e-06 t=14785
jiu bi ru 	就比如	c=1 d=6.33564e-14 t=14785
jiu bu 	就不	c=0 d=0.000258677 t=14785
jiu bu kao lv 	就不考虑	c=1 d=1.15722e-12 t=14785
jiu bu ke neng 	就不可能	c=1 d=1 t=11080
jiu bu qing chu le 	就不清楚了	c=1 d=0.00259284 t=14785
jiu bu zuo 	就不做	c=1 d=6.89303e-06 t=14785
jiu cha 	就差	c=0 d=2.1788e-16 t=14785
jiu cha le 	就差了	c=1 d=2.18973e-15 t=14785
jiu dao le 	就到了	c=1 d=7.04928e-05 t=14785
jiu de 	旧的	c=2 d=3.25226e-18 t=14785
jiu dian 	九点	c=1 d=0.0151463 t=14785
jiu fa 	就发	c=1 d=2.79602e-07 t=14785
jiu fa shao 	就发烧	c=1 d=2.70703e-10 t=14785
jiu fen kai 	就分开	c=1 d=6.72971e-18 t=14785
jiu gai shang 	就该上	c=1 d=4.73992e-12 t=14785
jiu gong ge 	九宫格	c=1 d=0.937067 t=14785
jiu hao 	就好	c=1 d=0.0118245 t=14785
jiu hao le 	就好了	c=3 d=0.182685 t=14785
jiu hui 	就会	c=3 d=0.0199405 t=14785
jiu hui chu xian 	就会出现	c=1 d=1 t=10865
jiu jiu 	九九	c=1 d=0.00132658 t=14785
jiu jiu 	舅舅	c=0 d=0.000115923 t=14785
jiu jiu tuan gou 	九九团购	c=1 d=0.0015648 t=14785
jiu jiu tuan gou 	舅舅团购	c=1 d=0.00116504 t=14785
jiu kai shi 	就开始	c=1 d=0.0133321 t=14785
jiu kai shi zhao le 	就开始找了	c=1 d=1 t=14383
jiu ke yi 	就可以	c=3 d=2.1616e-10 t=14785
jiu ke yi le 	就可以了	c=1 d=7.46967e-10 t=14785
jiu liang le 	就凉了	c=1 d=1 t=11102
jiu mai 	就买	c=2 d=3.71509e-05 t=14785
jiu mai le 	就买了	c=1 d=1.97966e-05 t=14785
jiu mei le 	就没了	c=2 d=3.81703e-06 t=14785
jiu mei you 	就没有	c=1 d=6.52415e-06 t=14785
jiu neng 	就能	c=5 d=0.00192832 t=14785
jiu neng da kai 	就能打开	c=1 d=2.6621e-19 t=14785
jiu neng ting 	就能停	c=1 d=0.0193512 t=14785
jiu neng zhao dao 	就能找到	c=1 d=1 t=9969
jiu pao 	就跑	c=0 d=8.05555e-17 t=14785
jiu pao le 	就跑了	c=1 d=8.09593e-16 t=14785
jiu ren wei 	就认为	c=1 d=0.000536738 t=14785
jiu shi 	就是	c=26 d=0.464086 t=14785
jiu shi bu yi yang 	就是不一样	c=2 d=1.96561 t=14427
jiu shi ge 	就是个	c=1 d=1.20987e-06 t=14785
jiu shi xiao he yin xing 	就是小鹤音形	c=1 d=1 t=9477
jiu shi yao 	就是要	c=1 d=1 t=13253
jiu tui le 	就退了	c=1 d=1 t=11871
jiu wan 	就完	c=1 d=5.39704e-10 t=14785
jiu wei 	九尾	c=1 d=1 t=10606
jiu xing 	就行	c=5 d=4.60861e-05 t=14785
jiu xing le 	就行了	c=4 d=2.16704e-07 t=14785
jiu yi ge 	就一个	c=1 d=3.25936e-18 t=14785
jiu yi jing 	就已经	c=1 d=1.09005 t=12282
jiu yi jing que ding le 	就已经确定了	c=1 d=1 t=12283
jiu yi wei zhe 	就意味着	c=1 d=1 t=13541
jiu yong 	就用	c=1 d=7.75312e-07 t=14785
jiu you 	就有	c=4 d=0.83527 t=14785
jiu you le 	就有了	c=1 d=1.98135e-15 t=14785
jiu you liang ge 	就有两个	c=1 d=1 t=10548
jiu yue fen 	九月份	c=1 d=7.53167e-19 t=14785
jiu zai 	就在	c=2 d=0.0564161 t=14785
jiu zao dian hui lai 	就早点回来	c=1 d=1 t=14746
jiu zhang ya 	就长牙	c=1 d=4.12069e-12 t=14785
jiu zhao dao ni de 	就找到你得	c=1 d=2.64702e-11 t=14785
jiu zhe 	就这	c=0 d=2.98299e-06 t=14785
jiu zhe ge 	就这个	c=0 d=3.55771e-20 t=14785
jiu zhe ge ba 	就这个吧	c=1 d=3.57554e-19 t=14785
jiu zhe me 	就这么	c=1 d=4.05727e-06 t=14785
jiu zhe yang 	就这样	c=1 d=8.74013e-05 t=14785
jiu zhe yi ge 	就这一个	c=1 d=2.99794e-05 t=14785
jiu zheng chang le 	就正常了	c=1 d=1 t=14453
jiu zhi dao le 	就知道了	c=1 d=1 t=13888
jiu zou 	就走	c=0 d=1.44946e-15 t=14785
jiu zou le 	就走了	c=1 d=1.45673e-14 t=14785
ju 	剧	c=0 d=0.1 t=10455
ju 	巨	c=0 d=8.48471e-10 t=14785
ju 	据	c=1 d=0.810584 t=14785
ju bu 	局部	c=1 d=1 t=12961
ju can 	聚餐	c=1 d=1 t=14361
ju jue 	拒绝	c=3 d=1.56402 t=14143
ju jue ce lve 	拒绝策略	c=1 d=1 t=13761
ju li 	距离	c=3 d=0.00362464 t=14785
ju li di die 	距离地跌	c=1 d=1.28246e-15 t=14785
ju peng fei 	巨鹏飞	c=1 d=8.52724e-09 t=14785
ju ran 	居然	c=2 d=1.60468e-05 t=14785
ju shuo 	据说	c=2 d=4.90625e-06 t=14785
ju ti 	具体	c=3 d=1.00014 t=11942
ju yu wang 	局域网	c=3 d=5.02311e-09 t=14785
